isi_tweet,label
saya sempet iseng-isengan aja kalo anggaran proyek mbg yang t itu dipindahkan untuk subsidi seluruh mahasiswa di indonesia data nya saya minta chatgpt jadi mungkin kurang akurat rata-rata sebenernya bisa dapet sekitar jutaan setahun,1.0
mahasiswa yang makin manja dengan chatgpt bikin saya resah karena fundamental cara berpikir engineeringnya masih berantakan so saya memutuskan bergabung menjadi youtuber edukasi pemrograman bedanya konten saya bener-bener akan ngomongin basicnya aja untuk level mahasiswa,-1.0
banyak komplain bermunculan di antara para mahasiswa mereka memang nggak belajar makanya pakai chatgpt atau ai tapi kenapa bloon banget sih jawabannya dibagiin di grup terus yang pada nyontek waktu kuis gimana mereka juga kan pakai ai ini sih yang ngerjain,-1.0
ut menfess - gw dosen tp beneran ga pernah kasih nilai jelek ke mahasiswa kecuali beneran ngaco sedangkan temen dosen gw yg lain segampang itu kasi nilai lgsg nuduh mahasiswa pake chatgpt jujur gw ga sejalan sama mereka dan sering diomelin kenapa kasi nilai tinggi terus,1.0
wow berani bener dah mahasiswa gua pake chatgpt pas kuis lol,-1.0
tbf dari cuplikan yang ada g-wordnya it was presentation session dari mahasiswa binus yang mengembangkan computer vision machine learning dan ai pathing terus tiba tiba dateng dia dan malah bagi bagi buku soal prompting chatgpt,-1.0
aku gk peduli nder dulu aku kuliah konvensional jg gitu kok anaknya kalo ujian pd nyontek trs dosen jg kek gk peduli kadang ditinggal kadang fokus k hp skr mah yg penting kita dpt ilmunya apa nggak skr negara mau runtuh ditambah mahasiswa chatgpt gitu ya udh sih nangis aja,-1.0
di kls kajian sr td dosenny bilang kesalah satu mahasiswa esaimu sudah di tulis dgn sangat jujur dibanding yg lain kelihatan msh pakai chatgpt seakan semuanya pake chatgpt kah bjir ini yg nulis sampe mumet ga berani buka chatgpt sm skl merasa tertusuk seenaknya berspekulasi,-1.0
gw baru tau kalo sekarang di chatgpt ada humanize ai gw barusan coba teks hasil dari humanize ai-nya chatgpt ke gptzero dan ternyata kedeteksinya human loh bagus dong kalo gitu,1.0
allah dan chatgpt bersama mahasiswa smt,1.0
unik bgt dospem gue fak mahasiswa bimbingan sama dia dia bimbingan sm chatgpt,-1.0
chatgpt wrapped bruh lu tuh mahasiswa otaklu tuh encer kerjain sendiri napa,-1.0
kan kata gue juga jangan terlalu ngajarin mahasiswa pake chatgpt ga semua org bisa dan ada kemauan buat reread dan review,-1.0
gw udah jadi dosen di postdam uni for weeks now ngajar for uxr ini beberapa curhatan pak dosen gw bisa guess sekitar dari mahasiswa gw pake chatgpt buat bikin assignment gw keliatan banget dari gaya bahasa jawabannya and how they cant explain their answers kalau gw,-1.0
salahgunaan chatgpt dan quillbots dalam kalangan mahasiswa kini sangat membimbangkan ya sebuah penghinaan kepada intelektual manusia,-1.0
can we stop normalize any kind of cheating on exam ayolah mahasiswa itb loh ujian psdme tadi yang soalnya pilgan dan mirip tahun lalu aja banyak yang nyontek sedih liatnya apa bedanya sama yang pake chatgpt kemarin bedanya cuman dia ketauan lu nya ngga,-1.0
lagi heboh soal ngoding apakah kita harus bisa ngoding jauh sebelum jamannya chatgpt saya encourage mahasiswa saya mhs bisnis untuk ngoding argumennya adalah kita masuk era digital dan big data gimana mau kasih perintah ke komputer kalo ga bisa ngomongnya ngoding,1.0
murka bgt pagi-pagi belom sarapan pas ngawas nemu mahasiswa pake chatgpt buat uas mana matkul gw,-1.0
selamat pagi mari awali pagi harimu dengan complain dari mahasiswa kenapa dapet bc padahal dia ketauan pake chatgpt pas uas,-1.0
bagus nih kalau chatgpt digunakan kayak gini kemarin salah satu soal ujian saya hasil prompt chatgpt terus minta mahasiswa buat nyari celah salahnya dimana jadi sekaligus jadi bahan penyadaran kalau yg gini tuh nggak bisa kita jadikan reference plek plek,1.0
emang bener kata dosenku kemarin pas ada mahasiswa bimbingan proposal nunjukin chatgpt buat daftar pertanyaan interview mahasiswa sekarang tuh udah pinter tapi pada gapunya adab adab diatas ilmu udah hilang,-1.0
gue suruh chatgpt jadi mahasiswa dia nolak trs gw coba lg suruh dia jadi guru dia kek excited gitu tapi kok gue nya jd salting wkwkwkwk,1.0
minimal kalo referen dr chatgpt edit dulu kek aku mahasiswa biasa aja tau itu hasil chat gpt apalagi dosen the real asal kirim tanpa dibaca masa depan bangsa,-1.0
