penulis,id_user,waktu,isi_tweet,label
nangisadalahprivilege,@nangisadalahprivilege,2026-02-15T04:16:42.000Z,info chatgpt prem dong ato perplexity prem yg murce #zonajajan #zonauang #mahasiswa,0
HasbiyalFurqon#IndonesiaGelap,@HasbiyalFurqon#IndonesiaGelap,2025-06-26T00:48:02.000Z,"Saya sempet iseng-isengan aja, kalo anggaran proyek MBG yang 71T itu dipindahkan untuk subsidi seluruh mahasiswa di Indonesia (data nya saya minta ChatGPT jadi mungkin kurang akurat) rata-rata sebenernya bisa dapet sekitar 7 jutaan setahun.",1
halig,@halig,2026-02-24T04:31:06.000Z,chatgpt tolong sebutkan judlu judul tguas stdui kasus mahasiswa itb syang berhubbungan dengan sdg dua KLIK,0
Hudya,@Hudya,2025-05-31T08:05:16.000Z,Mahasiswa yang makin manja dengan ChatGPT bikin saya resah karena fundamental cara berpikir engineeringnya masih berantakan.  So saya memutuskan bergabung menjadi youtuber edukasi pemrograman. Bedanya konten saya bener-bener akan ngomongin basicnya aja untuk level mahasiswa,-1
MinDos,@MinDos,2024-01-09T06:14:22.000Z,"Iseng nanya chatgpt...  Mahasiswa kesmas bisa magang dimana saja?  Jawabannya: Untuk mencari referensi tempat magang bagi mahasiswa Kesehatan Masyarakat, Anda dapat:  1. **Kampus dan Dosen**: Kampus tempat Anda kuliah dan dosen di bidang Kesehatan Masyarakat bisa memberikan",0
Bintang,@Bintang,2025-11-11T09:33:44.000Z,"Banyak komplain bermunculan di antara para mahasiswa.   �Mereka memang nggak belajar, makanya pakai ChatGPT atau AI. Tapi kenapa bloon banget sih, jawabannya dibagiin di grup?�   �Terus yang pada nyontek waktu kuis gimana? Mereka juga �kan pakai AI?�   �Ini sih yang ngerjain",-1
UTMenfessBaseUniversitasTerbuka,@UTMenfessBaseUniversitasTerbuka,2024-11-21T04:08:28.000Z,"UT MENFESS - Gw dosen, tp beneran ga pernah kasih nilai jelek ke mahasiswa kecuali BENERAN NGACO. sedangkan temen2 dosen gw yg lain segampang itu kasi nilai 60, lgsg nuduh mahasiswa pake chatgpt. Jujur gw ga sejalan sama mereka dan sering diomelin kenapa kasi nilai tinggi2 terus.",1
far.,@far.,2025-12-12T07:19:08.000Z,wow berani bener dah mahasiswa gua pake chatgpt pas kuis lol,-1
DRUVV,@DRUVV,2026-02-01T02:15:44.000Z,"guys ada yg mau tukeran? tapi yg saya wawancara, kriteria  - mahasiswa tingkat akhir yg sedang penelitian - pernah menggunakan academic search engine contoh ( google scholar, scopus dll) dalam penelitian - pernah menggunakan genAI dalam penelitian contoh (chatgpt, gemini dll)",0
RizkiSalminen,@RizkiSalminen,2025-05-03T01:40:51.000Z,"tbf dari cuplikan yang ada g-wordnya, it was presentation session dari mahasiswa binus yang mengembangkan computer vision, machine learning dan AI pathing�.terus tiba tiba dateng dia dan malah bagi bagi buku soal prompting chatGPT",-1
MamaKucing,@MamaKucing,2025-04-27T22:26:59.000Z,"Aku gk peduli nder, dulu aku kuliah konvensional jg gitu kok anak�nya, kalo ujian pd nyontek trs dosen jg kek gk peduli, kadang ditinggal kadang fokus k hp. Skr mah yg penting kita dpt ilmunya apa nggak, skr negara mau runtuh ditambah mahasiswa chatgpt gitu ya udh sih nangis aja",-1
